	ville_1000_MDS_ncomponents_100	ville_1000_PPMI_MDS_ncomponents_100	ville_1000_PPMI_add1_MDS_ncomponents_100
0	Bailado	philosophe	marquer
1	subir	Jérémie	automatique
2	sapone	météo	dire
3	suppression	5,0	extrême
4	p.	Furii	pandémie
5	Noris	rencontrer	néonazi
6	généralise	1842myxine	Hensley
7	émettre	Teignousse	protection
8	R-2M-2R-2M-2R-2M	démission	sotoi
9	verbe	version	tunique
